thiNksmaRt Library Books Catalog,,,,,,,
CIVILS,,,,,,,
TSBN,ISBN,Card No.,Book Title,Author,Publication,Edition/Part,Copies
GEN010,9781846041242,178,Man Search for Meaning,Viktore E Frankl,Rider,,
GEN011,9788184001402,179,Business And intellectual Property,Anurag K Agarwal,Random House,,
GEN012,9788182745780,180,Attitude is everything,Jeff Keller,Pentagon,,
GEN013,9788185674414,181,How to develop Self confidence,Ananth Pai,UBSPD,,
GEN014,9788183223225,182,What to say when you talk to your self,shad helmstetter,Manjul,,
GEN015,9781848314221,183,emotional Intelligence,david walton,allen & Unwin,,
GEN016,9788123750361,184,Globalisation & Development,Sunandha Sen,NBT,,
GEN017,9788129120212,185,What young india wants,Chetan Bhagat,Rupa,,
GEN018,9788184004052,186,Why I am paying more,IIM-A,Random House,,
GEN019,9780143027805,187,Untouchable,Mulk Raj Anand,Penguin,,
GEN020,9781848310087,188,Ethics a Graphic Guy,Dev Robbin Son,Gutan Berg,,
GEN021,9718123717821,189,Public administration In india,Padma Ramchandran,NBT,,
GEN022,9788123763019,190,Forest Biodiversity,PS Rama krishnan,NBT,,
GEN023,9788123743745,191,Black Holes,jayanth narlikar,NBT,,
GEN024,,192,Quote Book,,Branyies,,
GEN025,9700198073826,193,Oxford School Atlas,,OUP,,
GEN026,,194,The power of your unconcius mind,DR.Joseph Murphy,Grawine India,,
GEN027,9780062312679,195,Freakonomics,Steven D levitt,Willam Morrow,,
GEN028,9788123714585,196,Energy,AK bakshi,NBT,,
GEN029,9781609946784,197,Eat that Frog,Brian Tracy,BK,,
GEN030,9780446508940,198,Guide to investing,Robert T kyosaki,Grand Central,,
GEN031,,199,The Philosophy Book,,DK,,
GEN032,9780141033570,200,Thinking Fast & Slow,Daneil kahenman,Penguin,,
GEN033,9788123750750,201,RTI Act,Suchi Pandey,NBT,,
GEN034,9788123700366,202,Our Environment,Laeeq Futehally,NBT,,
GEN035,9788123747286,203,Employment Garaunte Act,Nikhil Dey,NBT,,
GEN036,9788184952285,204,Cheguvera,Richard L Harris,Jico,,
GEN037,9788123769998,205,Democracy in india,Chander Prakash,NBT,,
GEN038,9788123761398,206,Freedom movement & indian muslims,Santimoy ray,NBT,,
GEN039,9788129134615,207,Not just an accountant,Vinod Roy,Rupa,,
GEN040,9788123749976,208,China,Smt Chakarbarty,NBT,,
GEN041,97818470946249,209,The power of habit,Charles Duhigg,RH,,
GEN042,9780140449334,210,Meditations,Marcus aurelius,Penguin,,
GEN043,9788184000191,211,Strategies for the future,Ajeet N mathur,IIM-A,,
GEN044,978813757933,212,The contribution of revolutionist in indias freedm struggle,Hiren Gohain,NBT,,
GEN045,9788123711232,213,The monsoons,PK Das,NBT,,
GEN046,9788123754109,214,From Government to governence,Kuldeep mathur,NBT,,
GEN047,9781848313415,215,Ethics for every day life,Dev Robbin Son,Introducing,,
GEN048,9788123746975,216,The partion of india,Anitha Indersingh,NBT,,
GEN049,9780007420124,217,The Art of war,Sun Tzu,Kollins Classics,,
GEN050,9788188452002,218,The Art of dealing with people,Les gibilin,Embassy Books,,
GEN051,9780128062745,219,Oxford School Atlas - India,,OUP,,
GEN052,9780062312686,220,The intellegent investor,Benjamin Graham,Harper,,
GEN053,9788175960299,221,Essential english grammer,Ramond Murphy,CamBridge,,
GEN054,9788129135742,222,The Dramatic Decade,Pranab Mukerjee,Rupa,,
GEN055,9780143419549,223,Visual Dictionary,DK,DK,,
GEN056,9788183071000,224,Word Power made Easy,Noran Lewis,Goyalsab,,
SSC,,,,,,,
SSC001,9789384761141,320,General Science,,Lucent's,,2
SSC001,9789384761141,321,General Science,,Lucent's,,2
SSC002,9789384761547,322,General Knowledge,,Lucent's,,3
SSC002,9789384761547,323,General Knowledge,,Lucent's,,3
SSC002,9789384761547,324,General Knowledge,,Lucent's,,3
SSC004,9789352531950,325,Quick Arithametic,Ashish Agarwal,S. Chand,,
SSC005,9789388026741,326,Quaterly Current Affairs,Disha,Disha,,3
SSC005,9789388026741,327,Quaterly Current Affairs,Disha,Disha,,3
SSC005,9789388026741,328,Quaterly Current Affairs,Disha,Disha,,3
SSC006,9789351473749,329,General Studies,B. Singh,Made Easy,,2
SSC006,9789351473749,330,General Studies,B. Singh,Made Easy,,2
SSC007,9789332546998,331,Quantitaive Aptitude,Dinesh Khattar,Pearson,,
SSC008,9788121915311,332,Objective General English,R.S. Agarwal,S. Chand,,
SSC003,9788121905510,333,Verbal and Non-verbal Reasoning,R.S. Agarwal,S. Chand,,
SSC009,9789332587519,334,Concise General Knowledge Manual,Edgar Thorpe,Pearson,,
SSC010,9788192933542,335,Objective General Knowledge,Lucent's,Lucent's,,
SSC011,9788121924986,336,Quantitaive Aptitude,R.S. Agarwal,S. Chand,,
SSC012,8121905524,337,Verbal Reasoning,R.S. Agarwal,S. Chand,,
STATE,,,,,,,
STA001,97881921116785,338,History of Telangana Movements,V. Prakash,GBK,,
STA002,,339,Vijetha Competitions Current Affairs,Vijetha,Vijetha,,
STA003,,340,Science and Technology Previous bits (2016-17),,Winners,,
STA004,,341,Hitech Vijaya Rahasyam GK (2018-19),,Hitech,,
STA005,,342,VRO & Group - IV Secreterial Abilities,B. Krishna Reddy,GBK,,
STA006,,343,"Telangana Samjam - Sankriti, Sahityam ",Raghu Depaka,Genius,,
STA007,,344,Sciende and Technology - General Science,Ravi Kumar,Winner,,
STA008,,345,VRO & Group - IV General Studies,B. Krishna Reddy,GBK,,
